date,open,high,low,close,change_pct
2007-12-19,107.3,107.3,107.3,107.3,0.0
2007-12-20,107.3,107.3,107.3,107.3,0.0
2007-12-21,107.3,107.3,107.3,107.3,0.0
2007-12-24,107.3,107.3,107.3,107.3,0.0
2007-12-25,107.3,107.3,107.3,107.3,0.0
2007-12-26,107.3,107.3,107.3,107.3,0.0
2007-12-27,107.3,107.3,107.3,107.3,0.0
2007-12-28,107.3,107.3,107.3,107.3,0.0
2007-12-31,107.3,107.3,107.3,107.3,0.0
2008-01-01,107.3,107.3,107.3,107.3,0.0
2008-01-02,108.3,108.3,108.3,108.3,0.93
2008-01-03,108.3,108.3,108.3,108.3,0.0
2008-01-04,116.3,116.3,116.3,116.3,7.39
2008-01-07,115.3,115.3,115.3,115.3,-0.86
2008-01-08,115.3,115.3,115.3,115.3,0.0
2008-01-09,115.3,115.3,115.3,115.3,0.0
2008-01-10,115.3,115.3,115.3,115.3,0.0
2008-01-11,115.3,115.3,115.3,115.3,0.0
2008-01-14,115.3,115.3,115.3,115.3,0.0
2008-01-15,115.3,115.3,115.3,115.3,0.0
2008-01-16,115.3,115.3,115.3,115.3,0.0
2008-01-17,115.3,115.3,115.3,115.3,0.0
2008-01-18,115.3,115.3,115.3,115.3,0.0
2008-01-21,115.3,115.3,115.3,115.3,0.0
2008-01-22,115.3,115.3,115.3,115.3,0.0
2008-01-23,115.3,115.3,115.3,115.3,0.0
2008-01-24,115.3,115.3,115.3,115.3,0.0
2008-01-25,115.3,115.3,115.3,115.3,0.0
2008-01-28,115.3,115.3,115.3,115.3,0.0
2008-01-29,115.3,115.3,115.3,115.3,0.0
2008-01-30,115.3,115.3,115.3,115.3,0.0
2008-01-31,115.3,115.3,115.3,115.3,0.0
2008-02-01,115.3,115.3,115.3,115.3,0.0
2008-02-04,115.3,115.3,115.3,115.3,0.0
2008-02-05,115.3,115.3,115.3,115.3,0.0
2008-02-06,115.3,115.3,115.3,115.3,0.0
2008-02-07,115.3,115.3,115.3,115.3,0.0
2008-02-08,115.3,115.3,115.3,115.3,0.0
2008-02-11,115.3,115.3,115.3,115.3,0.0
2008-02-12,115.3,115.3,115.3,115.3,0.0
2008-02-13,115.3,115.3,115.3,115.3,0.0
2008-02-14,115.3,115.3,115.3,115.3,0.0
2008-02-15,115.3,115.3,115.3,115.3,0.0
2008-02-18,115.3,115.3,115.3,115.3,0.0
2008-02-19,115.3,115.3,115.3,115.3,0.0
2008-02-20,115.3,115.3,115.3,115.3,0.0
2008-02-21,115.3,115.3,115.3,115.3,0.0
2008-02-22,115.3,115.3,115.3,115.3,0.0
2008-02-25,115.3,115.3,115.3,115.3,0.0
2008-02-26,115.3,115.3,115.3,115.3,0.0
2008-02-27,115.3,115.3,115.3,115.3,0.0
2008-02-28,115.3,115.3,115.3,115.3,0.0
2008-02-29,151.15,151.15,151.15,151.15,31.09
2008-03-03,153.65,153.65,153.65,153.65,1.65
2008-03-04,154.15,154.15,154.15,154.15,0.33
2008-03-05,148.65,148.65,148.65,148.65,-3.57
2008-03-06,156.15,156.15,156.15,156.15,5.05
2008-03-07,164.65,164.65,164.65,164.65,5.44
2008-03-10,183.15,183.15,183.15,183.15,11.24
2008-03-11,172.15,172.15,172.15,172.15,-6.01
2008-03-12,174.65,174.65,174.65,174.65,1.45
2008-03-13,187.65,187.65,187.65,187.65,7.44
2008-03-14,193.65,193.65,193.65,193.65,3.2
2008-03-17,201.65,201.65,201.65,201.65,4.13
2008-03-18,177.65,177.65,177.65,177.65,-11.9
2008-03-19,173.65,173.65,173.65,173.65,-2.25
2008-03-20,177.15,177.15,177.15,177.15,2.02
2008-03-21,177.15,177.15,177.15,177.15,0.0
2008-03-24,168.15,168.15,168.15,168.15,-5.08
2008-03-25,158.15,158.15,158.15,158.15,-5.95
2008-03-26,164.15,164.15,164.15,164.15,3.79
2008-03-27,163.65,163.65,163.65,163.65,-0.3
2008-03-28,168.15,168.15,168.15,168.15,2.75
2008-03-31,177.65,177.65,177.65,177.65,5.65
2008-04-01,164.15,164.15,164.15,164.15,-7.6
2008-04-02,155.65,155.65,155.65,155.65,-5.18
2008-04-03,152.15,152.15,152.15,152.15,-2.25
2008-04-04,147.15,147.15,147.15,147.15,-3.29
2008-04-07,141.65,141.65,141.65,141.65,-3.74
2008-04-08,143.65,143.65,143.65,143.65,1.41
2008-04-09,145.15,145.15,145.15,145.15,1.04
2008-04-10,141.65,141.65,141.65,141.65,-2.41
2008-04-11,144.15,144.15,144.15,144.15,1.76
2008-04-14,142.15,142.15,142.15,142.15,-1.39
2008-04-15,137.65,137.65,137.65,137.65,-3.17
2008-04-16,129.15,129.15,129.15,129.15,-6.18
